source_center,destination_center,route_type,delay_ratio,avg_distance,pct_sla_breach,trip_count
IND131028AAB,IND248001AAA,FTL,1.4540509957013148,27.028938888888888,0.7777777777777778,18
IND131028AAB,IND248001AAD,FTL,1.5028904904928297,25.786588888888886,0.7777777777777778,9
IND131028AAB,IND249407AAA,FTL,1.713558512116901,25.617285714285714,0.7142857142857143,7
IND131028AAB,IND250002AAA,FTL,1.7582122178896373,29.857766666666667,1.0,3
IND131028AAB,IND250002AAC,FTL,5.625,89.7878,1.0,1
IND131028AAB,IND250609AAA,FTL,2.9545454545454546,24.9115,1.0,1
IND131028AAB,IND250611AAA,FTL,2.9216783216783218,19.45525,1.0,6
IND131028AAB,IND251001AAA,FTL,1.7107906298900089,24.117654761904763,0.9285714285714286,42
IND131028AAE,IND124507AAA,FTL,1.793103448275862,21.39555,1.0,2
IND131301AAA,IND131028AAB,FTL,3.8053706570347434,18.421899999999997,1.0,6
IND132001AAA,IND131028AAB,FTL,2.2833648664144017,31.92901666666667,0.8333333333333334,6
IND132001AAA,IND132103AAA,FTL,3.2964285714285717,19.0426,1.0,2
IND132001AAA,IND132103AAB,FTL,6.271849067112225,23.23368,1.0,5
IND132103AAA,IND131028AAB,FTL,4.256234184495053,21.964355555555553,1.0,9
IND132103AAA,IND132001AAA,FTL,1.6675639915639917,21.3347,0.7,10
IND132103AAB,IND131028AAB,FTL,4.324258944942808,19.786894444444446,1.0,18
IND132103AAB,IND132001AAA,FTL,1.3890873015873015,22.177975,0.75,4
IND133004AAA,IND135001AAA,FTL,1.6139647262644974,18.821388888888887,0.7222222222222222,18
IND134102AAA,IND174103AAA,FTL,2.9194395065718597,19.95601875,1.0,16
IND134109AAA,IND160002AAC,Carting,15.637679450179451,8.922993333333332,0.6666666666666666,60
IND134203AAA,IND140501AAA,Carting,1.6202186619597334,13.286576785714287,0.6785714285714286,56
IND134203AAA,IND160002AAC,Carting,1.9345294874706638,13.989320000000001,1.0,5
IND135001AAA,IND173025AAA,FTL,1.880242540110961,19.52896388888889,0.8055555555555556,36
IND136027AAA,IND132039AAA,FTL,3.207905832905833,19.919230952380953,0.9761904761904762,42
IND136118AAA,IND136128AAA,FTL,1.4230667060212516,14.360081818181818,0.8409090909090909,44
IND136128AAA,IND136027AAA,FTL,2.55688316993464,14.192211363636364,0.9772727272727273,44
IND140001AAA,IND140118AAA,FTL,1.6659369858198596,21.029557894736843,0.9473684210526315,38
IND140118AAA,IND160002AAC,FTL,1.9409545597122906,20.992191764705883,0.8470588235294118,85
IND140301AAA,IND140001AAA,FTL,1.9045759278678536,13.289033333333334,0.7380952380952381,42
IND140301AAA,IND140901AAA,Carting,3.6166473877000187,7.955644736842106,0.7631578947368421,38
IND140401AAA,IND000000ACA,FTL,2.337362134862135,26.75770833333333,0.75,12
IND140401AAA,IND142401AAA,FTL,1.0523148148148147,15.855155555555557,0.6666666666666666,9
IND140401AAA,IND147301AAA,FTL,1.5952380952380953,16.41695,1.0,2
IND140406AAA,IND140401AAA,FTL,2.292247241168662,16.995471428571427,0.5,14
IND140501AAA,IND160002AAC,Carting,1.1209882322494216,14.31119642857143,0.2857142857142857,28
IND140901AAA,IND160002AAC,Carting,1.5442754690570042,12.339107142857141,0.5595238095238095,84
IND140901AAA,IND160055AAA,Carting,1.9412347456465102,6.9254549999999995,0.95,40
IND141003AAB,IND000000ACA,Carting,1.652485014985015,12.20585,0.625,8
IND141003AAB,IND141109AAA,FTL,0.8720588235294118,17.9376,0.0,2
IND141003AAB,IND142026AAA,FTL,1.6617624827708861,21.727264285714288,1.0,42
IND141010AAA,IND000000ACA,Carting,0.9090909090909091,7.7655,0.5,2
IND141109AAA,IND000000ACA,FTL,1.0893269403765071,25.8064,0.25,36
IND141115AAA,IND000000ACA,FTL,1.4959335060368046,15.91838148148148,0.5185185185185185,27
IND142001AAB,IND151001AAA,FTL,1.481468253968254,32.931650000000005,0.75,4
IND142001AAB,IND152026AAA,FTL,1.7833858066820194,19.854579310344825,0.9310344827586207,116
IND142026AAA,IND000000ACA,FTL,2.5694444444444446,18.153166666666667,0.6666666666666666,3
IND142026AAA,IND141109AAA,FTL,1.4349322380024134,23.807261111111114,1.0,18
IND142401AAA,IND000000ACA,FTL,1.4410476370035195,21.056141666666665,0.75,12
IND143001AAA,IND144001AAB,FTL,2.3062707997468466,22.109511842105263,1.0,76
IND144001AAA,IND144040AAA,FTL,2.2328839869281043,13.678513333333333,0.9333333333333333,30
IND144001AAB,IND000000ACA,FTL,2.3901009574172036,25.15176811594203,1.0,69
IND144001AAB,IND143001AAA,FTL,1.463416711830356,24.09376176470588,0.7794117647058824,68
IND144001AAB,IND144401AAB,Carting,3.5791407310638075,8.010530769230769,0.6923076923076923,26
IND144001AAB,IND144601AAA,FTL,3.4878472222222223,17.3494,1.0,4
IND144001AAB,IND160002AAC,FTL,5.010448092280391,25.607457142857147,1.0,7
IND144001AAC,IND000000ACA,Carting,1.6804267161410018,11.174728571428572,1.0,7
IND144001AAC,IND000000ACA,FTL,2.1013591601420014,24.420348484848486,1.0,33
IND144001AAC,IND160002AAC,Carting,2.4889896421600146,11.513813385826772,0.8661417322834646,254
IND144040AAA,IND144001AAB,FTL,1.7674445695343528,15.137550000000001,0.7222222222222222,18
IND144401AAB,IND144001AAB,Carting,2.165437503672798,6.648267647058823,0.7647058823529411,34
IND144514AAA,IND000000ACA,FTL,1.7644230769230769,27.66075,1.0,2
IND144514AAA,IND141115AAA,FTL,1.5991249491249493,13.31947,0.7,10
IND144527AAA,IND141115AAA,FTL,2.1532560032560033,17.294587500000002,1.0,8
IND144601AAA,IND144001AAA,FTL,2.0018382352941178,21.46695,1.0,2
IND144601AAA,IND144040AAA,FTL,1.4298245614035088,26.2706,0.5,2
IND145001AAA,IND176201AAA,FTL,1.9461193568336426,17.881985714285715,1.0,7
IND145001AAA,IND176303AAA,FTL,1.102184376156979,40.995400000000004,0.0,2
IND147001AAB,IND147201AAA,FTL,1.3516585266585268,13.555558333333332,0.5833333333333334,12
IND147001AAB,IND160002AAC,FTL,1.9666513618403292,45.422042857142856,0.7142857142857143,14
IND147001AAD,IND147201AAA,FTL,1.7115384615384617,13.47335,1.0,2
IND147001AAD,IND148023AAA,FTL,1.3034188034188035,19.64193333333333,1.0,3
IND147001AAD,IND160002AAC,FTL,3.4915485570680858,37.79299,0.8,10
IND147101AAA,IND147105AAA,FTL,1.52245670995671,14.49831875,1.0,16
IND147101AAA,IND160002AAC,FTL,6.337834870443566,25.35076666666667,1.0,3
IND147105AAA,IND147101AAA,FTL,1.8257575757575757,14.0546,1.0,2
IND147105AAA,IND160002AAC,FTL,7.522556972013494,26.28685357142857,1.0,28
IND147201AAA,IND148023AAA,FTL,1.3090891017814092,15.896846153846154,0.23076923076923078,13
IND147301AAA,IND000000ACA,FTL,1.4821428571428572,18.4938,1.0,2
IND147301AAA,IND140401AAA,FTL,1.4702380952380953,19.54305,0.5,2
IND148023AAA,IND148001AAA,FTL,1.2996482683982684,16.461775,0.75,4
IND148023AAA,IND148024AAB,FTL,2.0,19.4578,1.0,1
IND148028AAA,IND147001AAB,FTL,1.8883829057938966,21.661080000000002,0.9666666666666667,30
IND148028AAA,IND147001AAD,FTL,1.8242215014660834,21.08385,0.8333333333333334,6
IND148101AAA,IND148102AAA,FTL,1.1454545454545455,24.3741,0.4,5
IND148102AAA,IND151001AAA,FTL,2.078754578754579,21.455466666666666,0.6666666666666666,3
